file,003.c,004.c,001.c,002.c
003.c,0.0%,72.5312%,80.7215%,70.9713%
004.c,72.5312%,0.0%,76.5166%,83.5735%
001.c,80.7215%,76.5166%,0.0%,75.8357%
002.c,70.9713%,83.5735%,75.8357%,0.0%
